brand,uuid
ARAL,2378
Shell,1791
ESSO,1066
TOTAL,893
AVIA,753
JET,671
STAR,566
Agip,434
Raiffeisen,401
HEM,384
OMV,288
bft,246
OIL!,233
BFT,205
Freie Tankstelle,195
SB,192
Westfalen,167
CLASSIC,116
ED,107
freie Tankstelle,102
BayWa,102
"Supermarkt-Tankstelle am real,- Markt",93
ELAN,88
Hoyer,87
Supermarkt-Tankstelle,87
Freie,86
Sprint,84
team,79
Tankstelle,74
Q1,72
AVIA Xpress,68
Tankcenter,64
PM,61
Markant,58
bft - Walther,58
T,54
SCORE,49
Calpam,48
Globus SB Warenhaus,44
Frei,43
GULF,40
NORDOEL,39
GO,39
Supermarkt,36
Markenfreie TS,33
RAN,31
SHELL,30
Bft,29
Greenline,28
Pinoil,27
M1,27
Access,26
Bavaria Petrol,26
Roth- Station,26
TAS,25
Heinrich Albers OHG,24
MTB,22
Marktkauf,21
ALLGUTH,21
ZG Raiffeisen Energie,21
SB-Markttankstelle,21
FELTA,20
Honsel,20
Jantzon Tankstelle,19
LTG,19
Mr. Wash Autoservice AG,19
AVEX,18
Supol,18
Pludra,18
BELL Oil,17
Tankpoint,17
Mundorf Tank,17
Supermarkt C&C,16
REWE,15
Markant (Tankautomat),15
HERM,15
FAMILA,14
EDEKA,14
Hessol,14
TAMOIL,14
CleanCar AG,13
Bremer Mineralölhandel GmbH,13
SB Tankstelle,13
Bergler,12
ELO,12
Avanti,11
Kaufland,11
A Energie,11
Wiro,11
E Center,11
frei,10
Tankstelle Zieglmeier,10
Tankstelle Grüne,9
Seitz Tankstellen,9
SWE Südwestenergie GmbH,9
budget öl,9
LEO,9
EC Tankstelle Rolfes,8
SB-Tanken,8
Mengin,8
Freie Tankstelle Kaufmarkt,8
GREBE,8
PM24,8
JOISS,7
Raiffeisen Hatten eG,7
SB Markt,7
Raiffeisen EG,7
Raiffeisen Mitte,7
SVG Düsseldorf,7
E-Center,7
Sigmund Hoffmann,7
Raiffeisen Hunsrück,7
Sunoil,7
CITTI,6
Leu Energie,6
Schuster & Sohn KG,6
W. Dorst,6
EDi Hohenlohe,6
Argos Tankstelle,6
Frühmesser GmbH,6
TAP PflipsenGroup,6
EDi,6
tankpool24,6
Tank Plus,6
RWZ-Kassel,6
Pickelmann,6
SUED TREIBSTOFF,6
GS agri eG,5
AHR,5
Hempelmann,5
Kaiser Mineralöl und Tankstellen GmbH,5
LOTHEROL,5
Winkler 24h,5
Gulf,5
Raiffeisen Mansfeld,5
Westfalen Tankstelle,5
LOMO,5
1A Tank,5
Rakelbusch,5
WIKING,5
TANKHOF GRÜN,5
Kuster oil,5
Globus Baumarkt,4
bft-Station,4
MINOL,4
SB-Tank am HIT (Mundorf Tank),4
famila Nordost,4
Autol,4
bft (Heimburger),4
Ahlert Junior,4
VARO Energy Direct GmbH,4
Lenz,4
Sonstige,4
SPREVES,4
CardTank 24,4
BUNTE MINERALÖLHANDEL GMBH,4
RWG Bissel-Halenhorst eG,4
ECO,4
TTM Meiwes,4
Joiss,4
KÖHN PLAMBECK,4
Fulmin,4
Südtank,3
Gerhard Leger GmbH - freie Tankstelle,3
EXTROL,3
Trigema,3
HIT (Supermarkt TS),3
Freie Tankstelle ,3
SVG,3
Richter Mineralöl GmbH & Co KG,3
Rottaler Autohöfe,3
Paul Fischer GmbH,3
MTB Tankstelle,3
MSS,3
Freie Tankstelle Rolfes,3
Elf,3
LOOS,3
BFT-Tankstelle Kloiber GmbH,3
West-Tank,3
Weinmayr,3
Walther Automatenstation,3
Reibert,3
Schonhoff Mineralöle,3
City Tank,3
Classic Tankstelle,3
ADAP Tankstelle,3
Deppe Freie Tankstellen,3
Oel Schneider GmbH,3
Tankstelle Lukosek,2
Gasolin,2
Tankstelle Kassner GmbH,2
Freie Tankstelle Kuhl,2
Tankpool24,2
Tank & Shop,2
Freie Tankstelle Schröder,2
Preis,2
Gruber Freie Tankstelle,2
SUN,2
Pfeffer,2
PINK,2
Orosol,2
Roth- Energie,2
OKTAN,2
Ruhe Agrar GmbH,2
Metank,2
Markant Tankstelle,2
Mandler Tank & Wasch,2
MTB Automaten-Tankstelle,2
MHT,2
M1 ,2
SIT,2
Ludger Brämswig GmbH,2
RUMAG GmbH,2
T (Supermarkt TS),2
Schiffer & Nicklaus GmbH,2
Kuster Oil GmbH,2
Schneider Winkler24h,2
Schrewe Vertriebs GmbH,2
KTS GmbH,2
K+K,2
Stiegler,2
Stolch / Tank-Netz,2
