,uuid,name,brand,street,house_number,post_code,city,latitude,longitude
51,2acc4724-ea6a-4874-baa6-e191ccb12756,"MUENCHEN, INNSBRUCKER RING",Shell,INNSBRUCKER RING 142,,81669,MUENCHEN,48.114907,11.617154
111,5a8fc6fd-6f03-4157-a7af-b0ee2b75307b,Esso Tankstelle,ESSO,MUENCHNER STR. 14, ,82319,STARNBERG,48.002091,11.348624
120,6c2ff229-2e9a-47da-8394-8bff5ab91875,Esso Tankstelle,ESSO,EFFNERSTR. 130, ,81925,MUENCHEN,48.162809,11.624476
138,802e24d9-e991-4be7-bac1-7a4e4fc683e2,Aral Tankstelle,ARAL,Ingolstädter Str.,164-166,80939,München,48.20178,11.5861492
155,8d21423c-093d-43d1-99e4-da01ba69a9f8,Freie Tankstellen Singer,AVIA,Hauptstr.,19,85643,Tulling,48.083397,12.059923
235,f43d6a5b-352a-480f-836a-4ec6ca7b2da7,TOTAL FORSTERN,TOTAL,HAUPTSTR.,40,85659,FORSTERN,48.186554,11.975332
272,00060279-0001-4444-8888-acdc00000001,A-S-C Schreyer,Tankstelle Schreyer,Lorenz-Braren-Str ,31,85229,Markt Indersdorf,48.348823547363,11.371603012085
277,00060289-0001-4444-8888-acdc00000001,Tankstelle Unsin,,Dachauer Str.,13,85253,Erdweg-Großberghofen,48.321155548096,11.316249847412
279,00060293-0001-4444-8888-acdc00000001,Erich Walter OHG,BFT,Rosen Str.,2,82216,Maisach,48.221450805664,11.265246391296
290,00060441-0001-4444-8888-acdc00000001,Tankhof Sauerlach ,TANKHOF SAUERLACH,Ludwig-Bölkow-Straße ,1,82054,Sauerlach,47.971649169922,11.662834167481
291,00060446-0001-4444-8888-acdc00000001,Freie Tankstelle Schuster,,Münchner Str. ,31,82041,Oberhaching,48.029453277588,11.601210594177
295,00060471-0001-4444-8888-acdc00000001,Seitz Tankstelle Jetzendorf,Seitz Tankstellen,Gewerbering,1,85305,Jetzendorf,48.429363250732,11.427619934082
300,00060508-0002-4444-8888-acdc00000002,Hans Ritz GmbH,Freie Tankstelle Hans Ritz,Ayingerstraße ,3,85649,Faistenhaar,47.984237670898,11.716430664062
304,00060558-0005-4444-8888-acdc00000005,Seitz Tankstelle Röhrmoos,Seitz Tankstellen,Schlammerstraße ,1,85244,Röhrmoos,48.33472442627,11.438884735107
322,00060472-0003-4444-8888-acdc00000003,Seitz Tankstelle Alberzell,Seitz Tankstellen,Singenbacher Straße,24,85302,Alberzell,48.460731506348,11.343946456909
323,f4c21018-060e-4d56-88c7-e7caede0d453,München Triebstraße 35a,OMV,Triebstr.,35 a,80993,München,48.18719,11.5353
364,00060861-0006-4444-8888-acdc00000006,Seitz Tankstelle Niederroth,Seitz Tankstellen,Münchner Straße,9,85229,Niederroth,48.32597732544,11.3884973526
384,00061016-0008-4444-8888-acdc00000008,Seitz Tankstelle Hohenkammer,Seitz Tankstellen,Eisfeldstraße,2,85411,Hohenkammer,48.42879486084,11.523527145386
385,00061017-0007-4444-8888-acdc00000007,Seitz Tankstelle Erdweg,Seitz Tankstellen,Hauptstraße,34,85253,Erdweg,48.331123352051,11.306722640991
429,00061428-0002-4444-8888-acdc00000002,E-Center Tankstelle,EDEKA,Haidling ,16,85567,Grafing,48.033046722412,11.959246635437
